x1,x2,label
-5.76640,-2.86924,1.00000
-0.83591,1.43843,1.00000
6.86141,33.73853,0.00000
0.64421,-1.32995,1.00000
-10.52368,1.67648,2.00000
-0.14199,-0.34867,1.00000
-18.03229,26.08218,0.00000
-1.75219,33.26687,0.00000
-16.06278,-13.46056,2.00000
-11.57524,31.81361,0.00000
1.13876,-0.83809,1.00000
-19.58964,25.84982,0.00000
1.31855,33.26678,0.00000
-27.02963,13.91765,0.00000
0.63456,-1.02629,1.00000
1.34521,-0.91074,1.00000
-10.16054,4.51571,2.00000
1.20601,3.86509,1.00000
5.46089,13.30786,2.00000
19.86708,27.33875,0.00000
1.99266,-0.86180,1.00000
37.59879,2.04156,0.00000
1.10993,-1.19585,1.00000
0.65744,0.96282,1.00000
1.84894,-39.92383,0.00000
6.70268,31.55201,0.00000
12.48812,30.33101,0.00000
-0.52007,-0.62042,1.00000
0.37247,-5.79206,1.00000
1.92253,0.19334,1.00000
-10.00985,6.33004,2.00000
0.27882,1.72608,1.00000
3.20283,-1.49799,1.00000
-20.20680,24.92016,0.00000
8.82230,10.14716,2.00000
1.97431,-6.88303,1.00000
4.03510,0.52597,1.00000
1.90112,1.13168,1.00000
-10.92099,32.13740,0.00000
-0.17733,-3.64171,1.00000
30.73098,-23.38019,0.00000
3.14326,-4.54159,1.00000
1.82539,-2.68506,1.00000
36.07594,3.10941,0.00000
-0.78137,-1.33463,1.00000
-0.44612,31.89476,0.00000
0.41463,-0.75842,1.00000
-3.58012,12.77272,2.00000
10.43270,7.40195,2.00000
23.68893,23.26129,0.00000
3.06412,1.56096,1.00000
-24.75700,17.25079,0.00000
3.48845,-2.13447,1.00000
-29.69145,6.72694,0.00000
2.08477,-1.08349,1.00000
-0.17950,-1.51296,1.00000
30.55412,18.13637,0.00000
9.77776,31.68153,0.00000
-8.53855,0.99738,2.00000
3.15344,-1.28710,1.00000
-31.32272,-27.72251,0.00000
1.54998,-1.64798,1.00000
0.91051,-2.51788,1.00000
9.77838,-16.29249,2.00000
-19.27307,24.10195,0.00000
5.20365,-39.57361,0.00000
0.82986,-1.70809,1.00000
-3.68451,32.73189,0.00000
-9.16787,30.56473,0.00000
0.58658,-1.64184,1.00000
33.10021,13.33857,0.00000
-11.23385,30.86079,0.00000
1.23207,-1.41243,1.00000
