x1,x2,label
-18.08969,60.28003,0.00000
-11.54517,18.19605,1.00000
-16.01268,-16.70080,1.00000
-59.01181,-26.99191,0.00000
-20.34433,7.68755,1.00000
1.41866,21.48452,2.00000
2.77793,60.46667,0.00000
-38.63567,-52.63563,0.00000
-0.78286,-28.19924,2.00000
-62.63141,14.26028,0.00000
-20.33642,-11.95718,2.00000
3.80495,-26.81963,2.00000
-20.40694,-12.71326,2.00000
-13.86156,-17.18471,1.00000
34.30959,-59.83067,0.00000
-65.01747,-5.84604,0.00000
25.26728,-64.72301,0.00000
11.76581,-67.47035,0.00000
-5.83849,20.28322,1.00000
-64.95925,-0.64009,0.00000
-19.93218,-18.92985,2.00000
-14.63560,14.30598,1.00000
2.33743,-26.39652,1.00000
33.03140,-61.29842,0.00000
10.59065,-26.71216,1.00000
27.09328,-9.90093,2.00000
-12.36320,61.46717,0.00000
-24.15463,-2.14878,1.00000
-12.56131,-23.07381,2.00000
9.99190,-26.01661,1.00000
-21.97159,-11.22458,2.00000
-6.87449,20.29615,2.00000
-27.20280,-60.11014,0.00000
-7.05349,-66.42568,0.00000
10.35220,-26.80622,2.00000
-19.43889,-15.95248,1.00000
-23.11417,-0.67019,1.00000
13.39195,-23.39856,1.00000
11.30257,-25.12002,2.00000
12.95686,-23.61413,2.00000
14.64496,-24.21492,2.00000
24.72185,-14.20423,1.00000
-20.71463,-12.13639,1.00000
-23.32389,-6.04833,1.00000
-12.80953,-23.65118,2.00000
-20.16424,-14.83690,2.00000
-12.98823,15.61331,2.00000
-11.96661,18.70436,2.00000
66.94320,-24.79966,0.00000
-19.02854,16.60693,2.00000
-41.51495,-54.23205,0.00000
-16.12734,-19.05395,2.00000
-52.91358,-37.81146,0.00000
8.46927,-25.89147,1.00000
-19.99693,-14.39740,1.00000
-13.12827,18.68249,1.00000
27.23432,-10.60782,1.00000
-24.41177,-1.59362,1.00000
-23.09393,-9.70843,1.00000
24.66862,-15.16878,2.00000
70.85173,-7.07403,0.00000
-57.99480,-32.08945,0.00000
-8.21728,-24.32095,1.00000
-18.50984,-15.22394,2.00000
28.45060,-64.33620,0.00000
-1.01163,-28.07895,1.00000
-5.03505,-68.32148,0.00000
34.15826,-60.23913,0.00000
-11.26451,-23.38386,1.00000
1.05593,19.07244,1.00000
-1.85458,-26.55392,2.00000
25.75111,-16.67990,2.00000
23.90865,-16.12393,2.00000
-6.93133,20.51867,2.00000
-23.11004,4.38065,1.00000
-34.50321,52.14782,0.00000
70.80734,-7.62893,0.00000
-22.19797,-1.28636,1.00000
-23.76669,-2.58748,1.00000
-14.15016,-21.39972,2.00000
-55.18463,-36.01888,0.00000
29.07236,1.58524,1.00000
29.61133,-7.86260,1.00000
17.91597,-65.08934,0.00000
-23.87092,-9.52811,1.00000
-21.27959,-14.37113,2.00000
13.78582,-24.53644,2.00000
26.88992,-12.08900,1.00000
-18.44944,-15.98225,1.00000
34.52916,-57.74456,0.00000
-35.37213,-56.56129,0.00000
-22.57142,-1.18282,2.00000
27.00635,-11.76050,1.00000
-21.58012,-6.71466,1.00000
-25.20355,-62.76460,0.00000
-15.08331,-19.77457,1.00000
-56.73667,-36.53018,0.00000
15.02162,-22.44488,1.00000
-19.95415,-16.04335,2.00000
39.93592,-56.70663,0.00000
24.24500,-14.45849,1.00000
8.35338,-26.16865,1.00000
27.77446,-9.16147,2.00000
37.40059,-57.11691,0.00000
22.44188,-62.72244,0.00000
-14.08782,15.80656,2.00000
-44.78089,-49.04582,0.00000
29.80111,-4.56023,1.00000
14.63545,-24.79258,2.00000
4.14516,-24.89145,2.00000
71.41557,-3.50736,0.00000
-4.72291,20.13758,2.00000
-64.05943,6.42342,0.00000
20.22615,-20.84758,2.00000
-8.54122,-23.20136,1.00000
-9.75837,-67.90657,0.00000
-15.71239,-19.19186,2.00000
26.96526,-12.08741,2.00000
25.01523,-64.63009,0.00000
5.69528,-26.12064,1.00000
26.66342,-11.66236,2.00000
-21.10736,-9.00414,1.00000
8.24557,-26.14137,2.00000
63.19962,-28.84815,0.00000
22.56396,-20.60087,2.00000
38.82544,-58.21703,0.00000
-23.64455,5.25463,1.00000
9.52428,-23.33280,1.00000
-4.44154,-26.35229,1.00000
-64.17665,2.21119,0.00000
40.54989,-53.92347,0.00000
-18.54110,60.53406,0.00000
-61.58233,-22.54029,0.00000
-62.10910,-22.52662,0.00000
-33.78533,-57.05519,0.00000
-40.13901,-53.41078,0.00000
-61.21889,-25.13023,0.00000
-19.81253,-13.16942,1.00000
15.80556,-22.52500,2.00000
6.84748,-26.20706,2.00000
-3.89921,62.28568,0.00000
9.93346,-24.22034,1.00000
-30.46092,-60.60008,0.00000
-14.32737,16.30830,2.00000
-11.05205,-24.58825,2.00000
-20.78227,-62.61957,0.00000
